Unnamed: 1,-,-,-,-,Segformer B4,-,-
Band_name,Dice + BCE ,Dice + IoU + SSIM,Focal + tversky + dice,-,Dice + BCE,Dice + IoU + SSIM,Focal + tversky + dice
Blue,6.706484,7.319825,6.452643,-,5.42021,5.675941,5.47686
Green,5.445642,5.401599,5.950433,-,5.441936,5.401532,5.338106
Red,5.00672,5.222322,4.511587,-,5.432637,5.286354,5.331638
NIR,7.532214,6.810373,8.732996,-,5.612345,5.545007,5.524256
SWIR,9.524609,10.596716,7.212077,-,5.992403,6.005328,6.236362
Elevation/DEM,5.352924,5.784398,5.856633,-,5.540576,5.649323,5.716686
Coherence,5.83059,5.71361,5.351372,-,5.652931,5.793612,5.81565
dh/dt,5.773067,5.764245,7.028856,-,5.639327,5.898548,5.634336
Divergence,2.884184,2.640846,3.199347,-,5.697575,5.56492,5.657242
Persistant Scatter,5.073264,5.357559,5.44904,-,5.716236,5.531137,5.7105
Profile Curvature,4.342556,4.330299,4.75709,-,5.36308,5.226627,5.480521
Slope Angle,5.000422,4.660537,6.028739,-,5.910642,5.659377,5.756323
Slope Aspect,3.73233,3.647767,4.276451,-,5.408744,5.466699,5.501266
Tangential Curvature,5.009782,4.972855,5.634584,-,5.446983,5.554777,5.291364
Thermal Infrared,5.337945,4.705701,4.952868,-,5.602387,5.505039,5.468689
Unsphericity,6.491082,6.450296,4.866198,-,5.491845,5.327047,5.536838
Velocity,5.944335,5.748998,5.127441,-,5.248967,5.521639,5.246447
Backscatter,5.01186,4.872053,4.611651,-,5.381174,5.387095,5.276911
